time (s)	EOG (volts)0	1.807937743
0.002	1.643579767	
0.004	2.146321813	
0.006	1.843387503	
0.008	1.440549325	
0.01	1.933623255	
0.012	1.891728084	
0.014	1.350313573	
0.016	1.579125658	
0.018	1.952959487	
0.02	1.450217441	
0.022	1.250409705	
0.024	1.833719387	
0.026	1.927177844	
0.028	1.292304875	
0.03	1.359981689	
0.032	1.994854658	
0.034	1.730592813	
0.036	1.21173724	
0.038	1.534007782	
0.04	2.065754177	
0.042	1.550121309	
0.044	1.173064775	
0.046	1.675806821	
0.048	1.943291371	
0.05	1.372872511	
0.052	1.198846418	
0.054	1.740260929	
0.056	1.788601511	
0.058	1.231073472	
0.06	1.224628061	
0.062	1.71125658	
0.064	1.778933394	
0.066	1.269745937	
0.068	1.263300526	
0.07	1.682252232	
0.072	1.811160449	
0.074	1.295527581	
0.076	1.115056077	
0.078	1.498558022	
0.08	1.791824216	
0.082	1.434103914	
0.084	1.234296178	
0.086	1.498558022	
0.088	1.7821561	
0.09	1.495335317	
0.092	1.121501488	
0.094	1.33097734	
0.096	1.766042573	
0.098	1.653247883	
0.1	1.163396658	
0.102	1.214959945	
0.104	1.71125658	
0.106	1.643579767	
0.108	1.076383612	
0.11	1.115056077	
0.112	1.646802472	
0.114	1.691920348	
0.116	1.092497139	
0.118	1.015152209	
0.12	1.572680247	
0.122	1.71125658	
0.124	1.147283131	
0.126	0.992593271	
0.128	1.51467155	
0.13	1.74670634	
0.132	1.25363241	
0.134	0.953920806	
0.136	1.350313573	
0.138	1.682252232	
0.14	1.318086519	
0.142	0.941029984	
0.144	1.21818265	
0.146	1.643579767	
0.148	1.421213092	
0.15	1.011929503	
0.152	1.163396658	
0.154	1.646802472	
0.156	1.501780728	
0.158	0.966811627	
0.16	1.037711147	
0.162	1.55656672	
0.164	1.52111696	
0.166	0.992593271	
0.168	0.937807279	
0.17	1.47922179	
0.172	1.543675898	
0.174	1.060270085	
0.176	0.937807279	
0.178	1.411544976	
0.18	1.559789425	
0.182	1.108610666	
0.184	0.915248341	
0.186	1.314863813	
0.188	1.553344015	
0.19	1.195623713	
0.192	0.876575875	
0.194	1.195623713	
0.196	1.608130007	
0.198	1.308418402	
0.2	0.825012589	
0.202	1.057047379	
0.204	1.627466239	
0.206	1.430881209	
0.208	0.866907759	
0.21	0.98614786	
0.212	1.679029526	
0.214	1.534007782	
0.216	0.918471046	
0.218	0.924916457	
0.22	1.630688945	
0.222	1.630688945	
0.224	0.979702449	
0.226	0.895912108	
0.228	1.511448844	
0.23	1.621020829	
0.232	1.031265736	
0.234	0.844348821	
0.236	1.421213092	
0.238	1.621020829	
0.24	1.118278782	
0.242	0.915248341	
0.244	1.356758984	
0.246	1.617798123	
0.248	1.231073472	
0.25	0.886243992	
0.252	1.243964294	
0.254	1.624243534	
0.256	1.308418402	
0.258	0.886243992	
0.26	1.102165255	
0.262	1.537230488	
0.264	1.369649805	
0.266	0.999038682	
0.268	1.118278782	
0.27	1.569457542	
0.272	1.475999084	
0.274	1.06349279	
0.276	1.073160906	
0.278	1.501780728	
0.28	1.495335317	
0.282	1.105387961	
0.284	0.973257038	
0.286	1.382540627	
0.288	1.501780728	
0.29	1.485667201	
0.292	1.530785077	
0.294	1.002261387	
0.296	0.941029984	
0.298	1.421213092	
0.3	1.553344015	
0.302	1.018374914	
0.304	0.876575875	
0.306	1.424435798	
0.308	1.74670634	
0.31	1.156951247	
0.312	0.915248341	
0.314	1.356758984	
0.316	1.801492332	
0.318	1.282636759	
0.32	0.953920806	
0.322	1.359981689	
0.324	1.798269627	
0.326	1.369649805	
0.328	0.90880293	
0.33	1.243964294	
0.332	1.71125658	
0.334	1.414767681	
0.336	0.937807279	
0.338	1.195623713	
0.34	1.659693294	
0.342	1.450217441	
0.344	0.947475395	
0.346	1.092497139	
0.348	1.585571069	
0.35	1.505003433	
0.352	1.037711147	
0.354	1.124724193	
0.356	1.52111696	
0.358	1.569457542	
0.36	1.066715496	
0.362	1.069938201	
0.364	1.430881209	
0.366	1.617798123	
0.368	1.298750286	
0.37	1.086051728	
0.372	1.359981689	
0.374	1.611352712	
0.376	1.347090867	
0.378	1.031265736	
0.38	1.28908217	
0.382	1.637134356	
0.384	1.234296178	
0.386	1.733815518	
0.388	1.659693294	
0.39	1.185955596	
0.392	1.411544976	
0.394	2.107649348	
0.396	2.114094759	
0.398	1.575902953	
0.4	1.675806821	
0.402	2.371911192	
0.404	2.487928588	
0.406	1.901396201	
0.408	1.904618906	
0.41	2.591055161	
0.412	2.642618448	
0.414	2.039972534	
0.416	1.927177844	
0.418	2.57816434	
0.42	2.748967727	
0.422	2.223666743	
0.424	2.056086061	
